time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
376,516,194560,95,0.865027666091919,0.02939453125,0.9894365072250366,940,-2.547932231426239,0.2,5.755260986089707,0.0030552843,-0.002346438152017072,1.7492930889129639,0.0003,-156.58913156999998,1200.0
379,518,196608,96,0.8641136884689331,0.051953125,0.9364159107208252,950,-2.5465705513954164,0.2,1.238741946220398,0.004938648,-0.004368363053072244,0.45952510833740234,0.0003,-156.58913156999998,1200.0
384,516,198656,97,0.8633597493171692,0.00380859375,0.9223940372467041,960,-2.5447034657001497,0.2,12.723026394844055,0.0015466632,-0.0008237485541030765,4.4763617515563965,0.0003,-162.48102692,1200.0
387,518,200704,98,0.8634101152420044,0.027685546875,0.9728366136550903,970,-2.5434105038642882,0.2,7.080589413642883,0.0039298204,-0.002626277389936149,2.7226057052612305,0.0003,-162.48102692,1200.0
393,515,202752,99,0.8639529943466187,0.02392578125,0.9820845723152161,980,-2.544448310136795,0.2,5.942808544635772,0.0045976904,-0.0009877967473585158,2.0115232467651367,0.0003,-167.46648112000003,1200.0
395,517,204800,100,0.8651162981987,0.03125,0.9860182404518127,990,-2.545902371406555,0.2,8.858872663974761,0.0053088567,-0.002591954157105647,2.913861036300659,0.0003,-167.46648112000003,1200.0
401,515,206848,101,0.8653542995452881,0.005078125,0.9809606671333313,1000,-2.5484526991844176,0.2,3.866513243317604,0.0035869884,-0.0008822323055937886,0.9273591637611389,0.0003,-173.55867032000003,1200.0
404,517,208896,102,0.8645835518836975,0.031494140625,0.9824350476264954,1010,-2.547358125448227,0.2,18.04870810508728,0.003205129,-0.003410680580418557,4.045816898345947,0.0003,-173.55867032000003,1200.0
406,518,210944,103,0.8646049499511719,0.03193359375,0.9296814799308777,1020,-2.5460418224334718,0.2,10.008855676651,0.0052750856,-0.004188631998840719,3.4472110271453857,0.0003,-173.55867032000003,1200.0
412,516,212992,104,0.8650703430175781,0.010498046875,0.9029436111450195,1030,-2.547078251838684,0.2,4.10579646974802,0.0039145583,-0.0019644646206870677,0.49525994062423706,0.0003,-171.52734101,1200.0
