time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss
334,703,1151.64,487424,115,-128.52443967,2370,0.077490234375,0.0003,0.8395252823829651,-2.490319639444351,0.2,0.988375723361969,0.8772508099675178,-0.001880235259886831,0.006367405,0.22577369213104248
336,706,1151.64,489472,116,-128.52443967,2380,0.063720703125,0.0003,0.8372795581817627,-2.4860808134078978,0.2,0.9977206587791443,2.0292598828673363,-0.004266211914364248,0.004132034,0.7880991101264954
333,717,1151.64,491520,117,-127.84008793999999,2390,0.05107421875,0.0003,0.836223840713501,-2.4807338654994964,0.2,0.9956323504447937,0.8735955074429512,-0.0037294450448825955,0.0058261743,0.12927816808223724
334,722,1151.64,493568,118,-126.24043811,2400,0.02392578125,0.0003,0.8365993499755859,-2.4802972435951234,0.2,0.9969450235366821,1.4913832545280457,-0.0034173239895608277,0.0044944417,0.5329768657684326
335,725,1151.64,495616,119,-126.24043811,2410,0.069580078125,0.0003,0.8353655934333801,-2.479797226190567,0.2,0.9924309849739075,0.9374415919184684,-0.003439083497505635,0.0057434407,0.2779120206832886
332,739,1153.64,497664,120,-121.39143068,2420,0.014697265625,0.0003,0.8351582288742065,-2.47746998667717,0.2,0.9879029393196106,4.098194494843483,0.00022190433810465038,0.0019737217,0.7753693461418152
333,742,1153.64,499712,121,-121.39143068,2430,0.069775390625,0.0003,0.8339331150054932,-2.4758062183856966,0.2,0.9958087801933289,1.2493729874491692,-0.006266695086378604,0.006829736,0.261853963136673
330,756,1153.64,501760,122,-117.37554185999997,2440,0.033935546875,0.0003,0.8350608348846436,-2.4755174994468687,0.2,0.9980279803276062,0.8793494928628206,-0.002633894933387637,0.004110211,0.10517886281013489
331,758,1153.64,503808,123,-117.37554185999997,2450,0.07353515625,0.0003,0.8374573588371277,-2.478937786817551,0.2,0.9961782097816467,1.3358767613768578,-0.005173559347167611,0.010763468,0.21863429248332977
,,,,,,2460,0.0474609375,0.0003,0.8380179405212402,-2.484828931093216,0.2,0.9961103200912476,1.031021462380886,-0.004034131020307541,0.005940739,0.22804862260818481
